25,24,#
24,25,#
26,25,#
25,26,
26,26,#
25,27,
26,27,#
24,26,#
24,27,#
25,28,
24,28,#
25,29,
24,29,#
25,30,#
26,29,
27,29,
27,28,#
28,29,
28,28,#
29,29,
29,28,#
30,29,
30,30,#
31,29,
31,28,#
30,28,#
32,29,#
31,30,
31,31,
29,30,#
28,30,#
27,30,#
26,30,#
32,30,#
32,31,#
30,31,
31,32,#
30,32,#
29,31,
29,32,#
28,31,
28,32,#
27,31,
27,32,
26,32,#
26,31,#
27,33,
28,33,#
27,34,#
26,33,
26,34,#
25,33,
25,34,#
24,33,
24,34,#
23,33,
23,32,#
22,33,#
23,34,
22,34,#
23,35,
22,35,
22,36,#
21,35,
24,35,#
23,36,#
21,36,#
20,35,
19,35,
19,36,#
18,35,
20,36,#
18,36,#
17,35,
17,36,#
16,35,
16,36,#
15,35,
15,36,#
14,35,#
15,34,
16,34,#
17,34,#
18,34,#
20,34,#
21,34,#
24,32,#
25,32,#
15,33,
19,34,#
14,34,#
16,33,#
15,32,
15,31,
15,30,#
16,31,#
16,32,#
14,31,
13,31,
13,32,#
14,32,#
14,33,#
14,30,#
13,30,
12,30,#
13,29,
12,31,#
12,29,#
14,29,
14,28,#
15,29,
16,29,
17,29,
17,28,#
16,28,#
15,28,#
13,28,#
17,30,
16,30,#
18,30,#
17,31,
18,31,
19,31,
19,32,#
19,30,
19,29,
18,29,#
19,28,
19,27,
18,27,
18,26,#
17,27,
18,28,#
20,27,#
20,28,#
20,29,#
20,30,#
20,31,#
17,32,#
18,32,#
19,26,#
17,26,
16,26,#
17,25,
16,25,
16,27,#
18,25,#
17,24,#
16,24,#
15,25,
15,24,#
14,25,
14,24,#
13,25,
13,24,#
12,25,#
14,26,#
15,26,#
13,26,
13,27,
12,27,
11,27,
14,27,
15,27,
12,26,#
10,27,
10,26,#
11,26,#
11,28,#
12,28,#
10,28,#
9,27,
8,27,
8,26,#
9,26,#
7,27,
7,26,#
6,27,#
7,28,
6,28,#
8,28,#
9,28,#
7,29,
8,29,#
7,30,#
6,29,
5,29,
5,30,#
6,30,#
4,29,#
5,28,
5,27,
4,27,#
4,28,#
5,26,
5,25,
6,25,#
6,26,#
4,25,#
4,26,#
5,24,
5,23,
4,23,#
4,24,#
6,24,#
6,23,#
5,22,
5,21,
6,21,
6,22,#
4,21,#
5,20,#
7,21,
7,20,#
4,22,#
6,20,#
7,22,
7,23,
7,24,#
8,23,
9,23,
9,24,#
8,24,#
10,23,
10,24,#
11,23,
11,24,
11,25,
10,25,
9,25,
8,25,
7,25,
12,23,
12,24,#
12,22,#
11,22,#
10,22,#
9,22,#
8,22,#
13,23,
14,23,
15,23,
15,22,#
14,22,#
13,22,#
8,21,#
16,23,
16,22,#
17,23,
17,22,#
18,23,
18,22,#
19,23,
20,23,#
19,22,#
19,24,
20,24,#
19,25,
20,25,
21,25,
21,24,
21,23,
22,23,
22,24,#
22,25,#
21,26,#
20,26,#
21,22,#
22,22,#
23,23,
